# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	6492
#@/user_id	9dd1f55d-4634-4c50-b209-da3cd5d3a516
a 	啊	c=6 d=0.697676 t=6492
a ti 	阿嚏	c=0 d=0.1 t=1969
ai de 	矮的	c=1 d=1 t=4866
ai ren 	愛人	c=0 d=0.1 t=5503
ai ren qi ta 	愛人其他	c=1 d=1 t=5504
an 	按	c=1 d=1 t=5214
an 	暗	c=1 d=1 t=6465
an pai 	安排	c=1 d=1 t=4892
an xia 	按下	c=1 d=1 t=139
an zhao 	按照	c=5 d=1.00727 t=5209
an zhuang 	安裝	c=42 d=4.96026 t=6492
an zhuang hou 	安裝後	c=1 d=1 t=1226
an zhuang le 	安裝了	c=1 d=0.740818 t=6492
an zhuang yi ge 	安裝一個	c=1 d=1 t=4921
an zhuo 	安卓	c=1 d=1 t=6051
ba 	吧	c=6 d=1.7165 t=6401
ba 	把	c=11 d=2.91659 t=6427
ba kong 	把控	c=1 d=1 t=4987
bai 	擺	c=0 d=0.1 t=4819
bai 	柏	c=1 d=1 t=4067
bai fang 	擺放	c=1 d=1 t=4812
ban 	版	c=2 d=1 t=4944
ban 	辦	c=0 d=0.1 t=406
ban ben 	版本	c=8 d=0.790571 t=6492
ban fa 	辦法	c=1 d=1 t=1158
ban jing 	半徑	c=4 d=2.07981 t=2919
ban shi 	辦事	c=0 d=0.1 t=2200
bang ding 	綁定	c=1 d=1 t=1750
bang ge 	幫個	c=1 d=1 t=4727
bang wo 	幫我	c=1 d=1 t=4734
bang zhu 	幫助	c=2 d=1 t=4332
bao 	包	c=14 d=1.40538 t=5812
bao chi 	保持	c=3 d=1.88692 t=3977
bao gao 	報告	c=1 d=0.1 t=5400
bao gao xing shi 	報告形式	c=1 d=1 t=5401
bao han 	包含	c=1 d=0.210251 t=606
bao han le 	包含了	c=1 d=1 t=607
bao hu 	保護	c=1 d=1.09512 t=4470
bao hu de shi shen me 	保護的是什麼	c=1 d=1 t=4461
bao kuo 	包括	c=2 d=1.25388 t=2240
